mention_type,mention_name,citation,place_id,place_name,lat,lon,feature_type
place,Athens,8.1,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
place,Piraeus,8.1,379236HPei,Piraeus (Attica) 498 Piraeus - Πειραιεύς,37.9394,23.6448,deme
place,Euboea,8.1,385239IEub,Euboia (Euboea) 740 Evia - Εύβοια,38.53,23.87,island
ethnic,Athenians,8.10,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
ethnic,Chians,8.10,384261PChi,Chios polis (Chios) 602 Khios - Χίος,38.3764,26.1342,polity
ethnic,Peloponnesians,8.10,375222RPel,Peloponnese (Hellas) 1736 Peloponisos - Πελοπόννησος,37.54,22.15,region/people
demonym,Corinthian,8.10,379229PKor,Corinth/Korinthos (Korinthia) 1749 Archaia Korinthos - Κόρινθος,37.9054,22.8802,polity
demonym,Epidaurian,8.10,376232PEpi,Epidauros (Argolid) 206 Archaia Epidauros - Επίδαυρος,37.6331,23.1617,polity
place,Cenchreae,8.10,379230HKen,Kenchreai (Korinthia) 68 Kechriai - Κεγχρέαι,37.8824,22.9925,harbor
place,Spiraeum,8.10,378231HSpi,Spiraion (Korinthia) 7 Korfos? - Σπείραιον,37.7646,23.1317,harbor
ethnic,Thebans,8.100,383233PThe,Thebes (Boeotia) 2611 Thiva - Θήβαι,38.3191,23.3178,polity
ethnic,Lesbians,8.100,392261ILes,Lesbos (Lesbos) 438 Lesbos - Λέσβος,39.2075,26.2,island
ethnic,Methymnians,8.100,394262PMet,Methymna (Lesbos) 116 Methymna - Μήθυμνα,39.3692,26.1769,polity
demonym,Athenian,8.100,380237PAth,Athens (Attica) 9448 Athina - Αθήναι,37.9718,23.72793,polity
place,Miletus,8.100,375273PMil,Miletus (Ionia) 729 Milet - Μίλητος,37.5292,27.2775,polity
place,Samos,8.100,377269PSam,Samos (Aegean) 872 Pythagoreio - Σάμος,37.695,26.935,polity
place,Hellespont,8.100,402264WHel,Hellespont (Thrace) 730 Dardanelles - Ελλήσποντός,40.2,26.4,sea/strait
place,Chios,8.100,384261PChi,Chios polis (Chios) 602 Khios - Χίος,38.3764,26.1342,polity
place,Eresus,8.100,391259PEre,Eresos (Lesbos) 56 Skala Eresou - Έρεσος,39.1341,25.9348,polity
place,Cyme,8.100,388269UCym,Kyme (Aiolis) 129 Nemrut - Κύμε,38.7595,26.9363,polity
