mention_type,mention_name,citation,place_id,place_name,lat,lon,feature_type
place,Eleusis,1.26.3,380235SEle,Eleusinian Demeter sanctuary (Attica),38.0411,23.538,sanctuary/temple
ethnic,Phocians,1.26.3,386227RPho,Phokis region (Central Greece),38.6,22.7,region/people
place,Elatea,1.26.3,386228PEla,Elateia (Phokis),38.646,22.783,polity
place,Delphi,1.26.3,385225SDel,"Delphic Oracle, Pytho (Delphi)",38.48264,22.50108,sanctuary/temple
ethnic,Magnesians,1.26.4,379275UMag,Magnesia ad Maeandrum (Ionia),37.853,27.526,polity
demonym,Athenian,1.26.4,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Crete,1.26.4,352252IKre,Crete (Greece),35.2052,25.1836,region/people
place,Erechtheum,1.26.5,380237SEre,Erechtheion (Athens),37.97209,23.72641,sanctuary/temple
place,Aphrodisias,1.26.5,377287PAph,Aphrodisias (Caria),37.7085,28.7263,polity
place,Caria,1.26.5,370287RKar,Caria region (Asia Minor),37.01,28.7,region/people
place,Acropolis,1.26.6,380237SAkr,Athenian Acropolis (Athens),37.9717,23.7257,sanctuary/temple
demonym,Carpasian,1.26.7,356344PKar,Karpasia (Cyprus),35.626206,34.369934,polity
place,temple,1.27.1,380237SOTA,Old Temple of Athena (Athens Acropolis),37.9719,23.72628,sanctuary/temple
demonym,Persian,1.27.1,295540RPer,Persia (Asia),29.5,54,region/people
place,Plataea,1.27.1,382233LPlB,Plataea battlefield (Boeotia),38.2446,23.3012,battlefield
demonym,Athenian,1.27.1,380237PAth,Athens (Attica),37.9718,23.72793,polity
ethnic,Lacedemonians,1.27.1,371224PSpa,Sparta/Lacedaemon (Lakonia),37.0821,22.4237,polity
person,Spartan,1.27.1,371224PSpa,Sparta/Lacedaemon (Lakonia),37.0821,22.4237,polity
ethnic,Athenians,1.27.1,380237PAth,Athens (Attica),37.9718,23.72793,polity
ethnic,Lacedemonians,1.27.1,371224PSpa,Sparta/Lacedaemon (Lakonia),37.0821,22.4237,polity
ethnic,Persians,1.27.2,295540RPer,Persia (Asia),29.5,54,region/people
place,Athens,1.27.2,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,temple,1.27.2,380237SOTA,Old Temple of Athena (Athens Acropolis),37.9719,23.72628,sanctuary/temple
place,dwell not far,1.27.3,380237BArr,House of the Arrephoroi (Athens Acropolis),37.97217,23.72583,building
place,temple,1.27.3,380237SOTA,Old Temple of Athena (Athens Acropolis),37.9719,23.72628,sanctuary/temple
ethnic,Athenians,1.27.3,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Acropolis,1.27.3,380237SAkr,Athenian Acropolis (Athens),37.9717,23.7257,sanctuary/temple
ethnic,Athenians,1.27.4,380237PAth,Athens (Attica),37.9718,23.72793,polity
demonym,Athenian,1.27.5,380237PAth,Athens (Attica),37.9718,23.72793,polity
ethnic,Peloponnesians,1.27.5,375222RPel,Peloponnese (Hellas),37.54,22.15,region/people
place,Gythium,1.27.5,368226PGyt,Gytheion (Lakonia),36.7637,22.5623,polity
place,Boeae,1.27.5,365231PBoi,Boiai (Lakonia),36.517,23.062,polity
place,Cythera,1.27.5,363230PKyt,Cythera (Kythera),36.2295,23.0291,polity
place,Sicyonia,1.27.5,380227PSik,Sikyon (Korinthia),37.9834,22.7145,polity
place,Athens,1.27.5,380237PAth,Athens (Attica),37.9718,23.72793,polity
demonym,Athenian,1.27.5,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Euboea,1.27.5,385239IEub,Euboia (Euboea),38.53,23.87,island
place,Naxos,1.27.5,371255INax,Naxos island/polis (Cyclades),37.1059,25.377,polity
place,Boeotia,1.27.5,384233RBoi,Boiotia region (Boeotia),38.35,23.25,region/people
place,Chaeronea,1.27.5,385228PCha,Chaironea (Boeotia),38.4944,22.8416,polity
place,Haliartus,1.27.5,384231PHal,Haliartos (Boeotia),38.3787,23.088,polity
ethnic,Athenians,1.27.6,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Peneius,1.27.6,399227WPen,Peneios R. (Thessaly),39.9298,22.7094,river
demonym,Troezenian,1.27.7,375234PTro,Troizen (Troizenia),37.5033,23.3484,polity
place,Troezen,1.27.7,375234PTro,Troizen (Troizenia),37.5033,23.3484,polity
demonym,Troezenian,1.27.7,375234PTro,Troizen (Troizenia),37.5033,23.3484,polity
demonym,Troezenian,1.27.8,375234PTro,Troizen (Troizenia),37.5033,23.3484,polity
place,Athens,1.27.8,380237PAth,Athens (Attica),37.9718,23.72793,polity
place,Acropolis,1.27.8,380237SAkr,Athenian Acropolis (Athens),37.9717,23.7257,sanctuary/temple
ethnic,Cretans,1.27.9,352252IKre,Crete (Greece),35.2052,25.1836,region/people
person,Parnassus,1.27.9,385226LPar,Parnassus Mt. (Phokis),38.5354,22.6219,mountain
place,Crommyon,1.27.9,380231UKro,Krommyon (Korinthia),37.93171,23.13402,polity
place,Corinth,1.27.9,379229PKor,Corinth/Korinthos (Korinthia),37.9054,22.8802,polity
ethnic,Cretans,1.27.9,352252IKre,Crete (Greece),35.2052,25.1836,region/people
place,Crete,1.27.10,352252IKre,Crete (Greece),35.2052,25.1836,region/people
place,Peloponnesus,1.27.10,375222RPel,Peloponnese (Hellas),37.54,22.15,region/people
demonym,Argive,1.27.10,376227PArg,Argos (Argolid),37.63091,22.72079,polity
place,Corinth,1.27.10,379229PKor,Corinth/Korinthos (Korinthia),37.9054,22.8802,polity
place,Attica,1.27.10,379239RAtt,Attica region (Hellas),37.9,23.9,region/people
demonym,Attic,1.27.10,379239RAtt,Attica region (Hellas),37.9,23.9,region/people
place,Marathon,1.27.10,381240DMar,Marathon (Attica),38.1466,23.9701,deme
place,Athens,1.27.10,380237PAth,Athens (Attica),37.9718,23.72793,polity
